Date,Temperature (°C)
2024-11-15 09:00:00,18.85
2024-11-15 12:00:00,15.44
2024-11-15 15:00:00,11.98
2024-11-15 18:00:00,11.42
2024-11-15 21:00:00,14.75
2024-11-16 00:00:00,13.75
2024-11-16 03:00:00,14.73
2024-11-16 06:00:00,12.6
